Title,Company,Location,Salary
Full Stack Engineer,Litera,United States,"$150,000 - $175,000 a year"
DevOps Engineer- AI Trainer,DataAnnotation,"Newton, MA",From $40 an hour
"Python Programmer - 2889 (No Corp - Corp, W2 only)",Bridgewater Consulting Group,"Pomona, CA",Up to $45.33 an hour
Software Design Engineer,Teledyne Technologies Inc.,"Chestnut Ridge, NY","$58,100 - $77,400 a year"
Lead Software Engineer - Customer 360 Data Application,"Chick-fil-A, Inc.","Atlanta, GA",Salary not listed
Software Engineer,University of California San Francisco,"San Francisco, CA","$61,200 - $130,600 a year"
Software Engineer,DGN Technologies,"South San Francisco, CA",$46 - $54 an hour
Software Developer,Quantum Workplace,"Omaha, NE",Salary not listed
Software Engineer,Cart.com,Texas,Salary not listed
Senior Cloud Software Engineer,Fermat Software,"Annapolis, MD",From $75 an hour
"Senior Embedded Systems Engineer (In-Office, No Remote Work)",ProdataKey,"Draper, UT","From $125,000 a year"
"Test Engineer, Software I",Medtronic,"Newton, MA","$64,800 - $97,200 a year"
Software Engineer,"Morgan & Morgan, P.A.","Brooklyn, NY","$120,000 - $200,000 a year"
Senior Software Engineer,CARE IT SERVICES INC,"Owings Mills, MD",$55 - $60 an hour
PkMS/RPG Programmer,Capstone Integrated Solutions,Remote,Salary not listed
Software Engineer II (Remote),KLDiscovery,United States,"$85,000 - $110,000 a year"
Junior Front-End Developer,Law Firm Development,"Valley Stream, NY",$25 - $35 an hour
Software Engineer 5 - TV Client Foundations,Netflix,Remote,"$100,000 - $720,000 a year"
Software Engineer- Data,Statsig,"Bellevue, WA","$140,000 - $145,000 a year"
Cloud Software Development Engineer,INTEL,"Hillsboro, OR","$132,810 - $187,500 a year"
Senior Medical Device Software Engineer-(Applications),"Draeger Medical Systems, Inc.","Andover, MA",Salary not listed
Software Engineer - AI Trainer,DataAnnotation,"Huntsville, AL",From $40 an hour
"Software Dev Co-op, Applied Sciences",Johnson & Johnson,"Danvers, MA",$22 an hour
Software Development Engineer,Adobe,"San Jose, CA","$113,400 - $206,300 a year"
Software Developer - AI Trainer,DataAnnotation,"Albany, NY",From $40 an hour
Backend Software Engineer - AI Trainer,DataAnnotation,"Brockton, MA",From $40 an hour
Sr. Software Engineer (Oracle EBS-Supply Chain),Subaru of America,"Camden, NJ","$82,900 - $118,400 a year"
Software Developer - AI Trainer (Contract),DataAnnotation,"Newport News, VA",From $40 an hour
Software Development Engineer II,Expedia Group,"Springfield, MO","$94,500 - $151,000 a year"
Full Stack Developer- AI Trainer,DataAnnotation,"Springfield, MO",From $40 an hour
Building Automation Engineer,Novo Nordisk,"West Lebanon, NH",Salary not listed
Software Engineer 1,Conservice LLC,United States,Salary not listed
Software Developer Principal (Oracle Utilities CCS / C2M / MDM),Lower Colorado River Authority,"Austin, TX","$143,100 - $174,900 a year"
Senior Firmware Engineer,True Manufacturing,"O'Fallon, MO","$125,000 - $140,000 a year"
SW Engineer,Visa,"Foster City, CA","$94,000 - $132,950 a year"
Software Engineer,Adobe,"Lehi, UT","$113,400 - $206,300 a year"
Principal Signals Software Engineer (On Site),Raytheon,"State College, PA","$101,000 - $203,000 a year"
Controls and Automation Engineer,"JCSA Holdings, Inc.","Woodway, TX",Salary not listed
Web Development,Workana,United States,$50 an hour
Associate Cloud Software Engineer,Lenovo,"Morrisville, NC",Salary not listed
Software Engineer III,Ivim Services LLC,United States,"$120,000 - $140,000 a year"
Web development & project management,Workana,United States,$50 an hour
Associate Security Software Engineer,Disney,"Orlando, FL",Salary not listed
Programmer I,Pro Elections LLC,"Murphys, CA",$22 - $27 an hour
Software Engineer,Siemens,"Bellevue, WA","$110,635 - $157,700 a year"
FinTech Software Engineer IV,"SelectQuote, Inc.","Overland Park, KS","$140,000 - $160,000 a year"
Software Engineer,BRADY WORLDWIDE INC,"Milwaukee, WI",Salary not listed
"Software Engineer, Reliability",Point72,"Stamford, NY","$175,000 - $250,000 a year"
Automation Engineer - AI Trainer,DataAnnotation,"Springfield, MA",From $40 an hour
Junior Cloud Engineer (Remote),Aquila Software Group,"Pembroke Pines, FL",Salary not listed
Software Engineer (Frontend) - Early in Career,Splunk,Colorado,"$119,200 - $163,900 a year"
Software Engineer II,NBCUniversal,"Orlando, FL",Salary not listed
Software Engineers,CCC Information Services Inc.,"Chicago, IL","$87,000 - $91,054 a year"
Software Development Engineer - Front-end,Adobe,"Lehi, UT","$93,200 - $170,600 a year"
Software Engineer,UKG,"Santa Ana, CA","$86,100 - $123,800 a year"
Software Engineer,Pappas Restaurants,"Houston, TX",Salary not listed
Software Engineer II (Contract),Blue Star Partners LLC,"Sylmar, CA",$30 - $45 an hour
Embedded Software Architect,ASML,"San Diego, CA","$144,000 - $240,000 a year"
Software Design Quality Engineer Co-op,Johnson & Johnson,"Danvers, MA",$22 an hour
Software Engineer II,Chewy,"Boston, MA",Salary not listed
Software Engineer,Carl's Place LLC,"Milton, WI",Salary not listed
"Software Engineer, Back Office Systems",Point72,"Stamford, NY","$225,000 - $300,000 a year"
"Software Engineer, Macro Middle Office Technology",Point72,"Stamford, NY","$200,000 - $250,000 a year"
Software Development Engineer,Delta Airlines,"Atlanta, GA",Salary not listed
React Engineer,Air Apps,"San Francisco, CA","$75,000 - $99,000 a year"
Software Developer - C++ Unix Linux,United Airlines,"Chicago, IL","$87,780 - $119,680 a year"
Sr. Software Engineer – Data and Analytics,Chick-fil-A Supply LLC,"Atlanta, GA",Salary not listed
Software engineer,NIKE,"Beaverton, OR",Salary not listed
Back End Developer- AI Trainer,DataAnnotation,"Boulder, CO",From $40 an hour
Software Engineer,Quartz,"Madison, WI","$77,200 - $96,500 a year"
Software Engineer (Frontend),AstraZeneca,"Gaithersburg, MD","$123,114.40 - $184,671.60 a year"
Senior Software Engineer,E Logic,"Annapolis, MD",Salary not listed
Cloud Software Engineer,Stanford Health Care,"Newark, CA",$64.58 - $85.57 an hour
C++ Developer,Blue Peak Group LLC,"New York, NY",$80 - $82 an hour
Software Engineer II,FairSquare,"San Diego, CA","$120,000 - $170,000 a year"
2025034 Software Engineer,John Deere,"Moline, IL","$97,000 - $107,000 a year"
Sr. Azure Middleware Developer - Software Engineer,Subaru of America,"Camden, NJ","$82,900 - $130,000 a year"
Software Development Team Lead - Web,Uline,"Pleasant Prairie, WI","$121,000 - $160,000 a year"
Software Engineer/Developer II,University of Wisconsin System,"Kenosha, WI","$60,000 - $65,000 a year"
Software Development Manager,Uline,"Pleasant Prairie, WI","$121,000 - $185,000 a year"
"Full-Stack Engineer, GenAI Technology",Point72,"Stamford, NY","$175,000 - $250,000 a year"
Software Development Team Lead - Java,Uline,"Pleasant Prairie, WI","$121,000 - $160,000 a year"
Software Development Engineer-Golang,Quick Quack Car Wash,California,Salary not listed
Cloud Engineer,Demandwhiz Solutions,United States,"$111,389.52 - $134,146.52 a year"
Programmer II,William & Mary,"Williamsburg, VA","$70,000 - $80,000 a year"
Jr. Software Engineer,Spontigo,"Vineyard, UT",$15 - $25 an hour
Software Engineer - ASPX,ProFocus,United States,$55 - $65 an hour
Software Engineer II,Microsoft,United States,"$98,300 - $208,800 a year"
"Software Engineer I, Customer Experience",Spring Health,"New York, NY","$100,000 - $123,600 a year"
Junior Developer,Alphabold,"Lahore, VA",Salary not listed
SAP Software Developer,Y12,"Oak Ridge, TN",Salary not listed
Software Developer (Frontend),Healthcare Fraud Shield,United States,Salary not listed
Jr. .Net Developer - Onsite,Qbtech,"Redmond, WA",From $40 an hour
"Software Engineer, Senior",Toyota,"Plano, TX",Salary not listed
Full Stack Software Engineer,Allstate,United States,"$62,800 - $114,175 a year"
Full Stack Developer,Deloitte,"Falls Church, VA",Salary not listed
Software Engineer,Next code placement,"California City, CA","$84,069.98 - $101,245.57 a year"
Backend Engineer (Remote),Alma,California,"$4,000 - $9,000 a month"
Software Developer,The Lockwood Group,"Aberdeen Proving Ground, MD","$90,000 - $120,000 a year"
PeopleSoft Software Developer IV,"One Zero Solutions, LLC","North Charleston, SC",Salary not listed
Software Developer,"Scheels All Sports, Inc.","Fargo, ND",Salary not listed
Frontend Software Engineer - AI Trainer,DataAnnotation,"Dallas, TX",From $40 an hour
Software Engineer,Volvo Group,"Greensboro, NC",Salary not listed
Security Software Engineer 5,Netflix,Remote,"$230,000 - $900,000 a year"
Software Development Engineer (SDE),The Seattle Mariners Baseball Club,"Seattle, WA","$125,000 - $140,000 a year"
Assistant Software Engineer/Software Engineer/Software Engineer II,AIPSO,"Johnston, RI","$73,100 - $116,700 a year"
Mobile Software Engineer - AI Trainer,DataAnnotation,Remote,From $40 an hour
PW Software Engineer II,PENCILWRENCH LLC,United States,Salary not listed
Full Stack Engineer - Python/Ruby,Ryzen Solutions,"Austin, TX",$64.52 - $75.00 an hour
Fresher Java,Aminds Inc,Remote,"From $65,000 a year"
Software Engineer - C++/C#,Quest Global,"Madison, WI",Salary not listed
Software Engineer,Illuminate,"Overland Park, KS","$87,000 - $94,954 a year"
RPG Programmer,"Vormittag Associates, Inc.","Ronkonkoma, NY",$32 - $62 an hour
App Engineer - AI Trainer,DataAnnotation,Remote,From $40 an hour
Backend Software Engineer - Spacetime,"Aalyria Technologies, Inc","Livermore, CA","$150,000 - $175,000 a year"
Backend Product Engineer,Wispr Flow,"San Francisco, CA","$125,000 - $200,000 a year"
Sr Software Engineer,PlayStation Global,"Madison, WI","$156,400 - $234,600 a year"
Software Engineer,BlackLine,"Pleasanton, CA","$134,000 - $167,000 a year"
Lead Software Engineer,Leidos,"Omaha, NE","$104,650 - $189,175 a year"
Software Engineer,Point72,"New York, NY","$125,000 - $175,000 a year"
Machine Learning Engineer,Johnson & Johnson,"New Brunswick, NJ","$106,250 - $143,750 a year"
Junior Developer,C5T Corporation,"Scott AFB, IL","$60,000 - $70,000 a year"
"Software Engineer, Monitoring",Smart Data Solutions LLC,"Plano, TX","$68,000 - $73,000 a year"
Backend Engineer,Bevel,"New York, NY","$120,000 - $160,000 a year"
Junior Software Engineer,"StrongMind, Inc","Chandler, AZ",Salary not listed
Full Stack Engineer,Andium,Remote,Salary not listed
"Software Engineer, Entry",Amentum,"Kennedy Space Center, FL",Salary not listed
Application Developer II,Mecklenburg County,"Mecklenburg County, NC","$79,862 - $119,791 a year"
C++ Developer (Green Card or USC),TekValue IT Solutions LLC,Remote,Salary not listed
Junior Software Engineer,Belay Technologies,"Columbia, MD","$70,000 - $190,000 a year"
Software Engineer 2,"Garmin International, Inc.","Olathe, KS",Salary not listed
Jr .Net Developer,Expedite Technology Solutions,"Atlanta, GA",$32.25 an hour
Software Engineer,XIFIN,"San Diego, CA",$33.65 - $45.67 an hour
"Python Programmer - 2889 (No Corp - Corp, W2 only)",Bridgewater Consulting Group,"Pomona, CA",Up to $45.33 an hour
React Developer (FullTime),Otomeshan technology,"Plano, TX","$120,000 - $130,000 a year"
Software Engineer,"Morgan & Morgan, P.A.","Brooklyn, NY","$120,000 - $200,000 a year"
Associate Software Engineer,"Park Place Technologies, LLC","Highland Heights, OH",Salary not listed
Software Engineer,PayPal,"San Jose, CA","$60,900 - $147,400 a year"
Sr. Flutter Mobile Engineer,Apollo Technology Solutions LLC,"Charlotte, NC",Salary not listed
Software Engineer III,ROM-27,"Cortland, NY",$35 - $40 an hour
"Java Software Engineer, Support",Lender Price,Remote,"$75,000 - $140,000 a year"
Mobile App Developer,The Vow Wedding Hub,Remote,From $40 an hour
Software Engineer II - (E2),Applied Materials,"Salt Lake City, UT","$108,000 - $148,500 a year"
Software Engineer Aide,Radiance Technologies,"Stennis Space Center, MS",Salary not listed
Full Stack Developer,Life Point Law,"Federal Way, WA","$125,038 - $135,684 a year"
"Software Engineer, Tools Sets & Layout (Applications)",Disney,"Emeryville, CA","$145,265 - $187,990 a year"
Software Engineer,Allstate,Illinois,"$66,800 - $120,650 a year"
Software Engineer 2,Company Sage,"San Juan, PR","$80,000 - $100,000 a year"
Senior .NET & Angular Developer - SNAD25-20683,NavitsPartners,"York, PA",$55 - $65 an hour
Backend Software Engineer,Next Insurance,"Waltham, MA","$148,000 - $201,000 a year"
Java Software Engineer,Comcast Corporation,"Philadelphia, PA","$76,443.43 - $179,164.29 a year"
Software Engineer I,Expeed Software,"Worthington, OH",Salary not listed
Staff Software Engineer,PlayStation Global,"Madison, WI","$175,000 - $262,400 a year"
Software Engineer,University of California San Francisco,"San Francisco, CA","$61,200 - $130,600 a year"
"Associate, C# / .NET Dev",Morgan Stanley,"Alpharetta, GA","$153,000 a year"
Software Developer,Quantum Workplace,"Omaha, NE",Salary not listed
AI Software Engineer,platFlow.ai,"Palo Alto, CA","$146,854 - $400,000 a year"
Software Engineer,Statsig,"Bellevue, WA","$130,000 - $145,000 a year"
Infrastructure Software Developer - Junior Level,Moffatt & Nichol,"Long Beach, CA",$37 - $43 an hour
Software Engineer,DGN Technologies,"South San Francisco, CA",$46 - $54 an hour
Backend Engineer,Teleskope,United States,"$100,000 - $140,000 a year"
Junior Front-End Developer,Law Firm Development,"Valley Stream, NY",$25 - $35 an hour
Software Engineer,Shipment Trackers Inc,"York, PA","$85,000 - $100,000 a year"
Junior Python Developer,CS Soft Solutions (I) PVT.LTD.,"Hartford, CT","$84,873.31 - $102,213.02 a year"
Video Game Technician,Windy City Mobile Fun,"Naperville, IL","$76,622 - $83,379 a year"
Front-End Developer,Jacobi Robotics,Remote,$20 - $40 an hour
Jr. Software Developer,Nova Dynamics,"Philomath, OR","$85,000 a year"
